Shipment_ID,Origin,Destination,Distance_km,Shipment_Weight_kg,Vehicle_Type,Expected_Delivery_Days,Delivery_Time_Days,Transportation_Cost,On_Time
S001,Chennai,Bangalore,350,12,Truck,2,2,4500,Yes
S002,Hyderabad,Bangalore,570,25,Truck,3,4,6200,No
S003,Chennai,Hyderabad,630,18,Van,3,3,5800,Yes
S004,Bangalore,Mumbai,980,30,Truck,4,5,8500,No
S005,Hyderabad,Chennai,625,10,Van,3,3,5200,Yes
S006,Bangalore,Chennai,350,15,Van,2,2,4100,Yes
S007,Chennai,Mumbai,1340,40,Truck,5,6,11000,No
S008,Hyderabad,Mumbai,710,22,Truck,4,4,7600,Yes
S009,Bangalore,Hyderabad,570,14,Van,3,3,5400,Yes
S010,Chennai,Bangalore,350,28,Truck,2,3,4900,No
S011,Mumbai,Hyderabad,710,20,Truck,4,4,7300,Yes
S012,Chennai,Pune,1200,35,Truck,5,5,9800,Yes
S013,Bangalore,Pune,840,16,Van,4,5,7200,No
S014,Hyderabad,Chennai,625,11,Van,3,3,5100,Yes
S015,Mumbai,Bangalore,980,26,Truck,4,5,8700,No
S016,Chennai,Hyderabad,630,19,Truck,3,4,6100,No
S017,Bangalore,Mumbai,980,13,Van,4,4,8000,Yes
S018,Hyderabad,Bangalore,570,32,Truck,3,3,6500,Yes
S019,Chennai,Pune,1200,21,Truck,5,6,10200,No
S020,Mumbai,Chennai,1340,17,Van,5,5,10800,Yes
